Datetime,Adj Close,Close,High,Low,Open,Volume
2025-11-19 14:30:00+00:00,266.92999267578125,266.92999267578125,267.05999755859375,265.5,265.5249938964844,1151862
2025-11-19 14:31:00+00:00,266.59100341796875,266.59100341796875,267.2099914550781,266.4800109863281,266.94000244140625,136130
2025-11-19 14:32:00+00:00,266.54998779296875,266.54998779296875,266.8800048828125,265.989990234375,266.635009765625,148772
2025-11-19 14:33:00+00:00,266.1600036621094,266.1600036621094,266.95721435546875,265.94000244140625,266.57000732421875,173801
2025-11-19 14:34:00+00:00,266.7099914550781,266.7099914550781,266.885009765625,266.1449890136719,266.1499938964844,108059
2025-11-19 14:35:00+00:00,267.0950012207031,267.0950012207031,267.3399963378906,266.6474914550781,266.66009521484375,130373
2025-11-19 14:36:00+00:00,266.6700134277344,266.6700134277344,267.114990234375,266.54998779296875,267.07000732421875,95353
2025-11-19 14:37:00+00:00,267.04949951171875,267.04949951171875,267.1400146484375,266.6700134277344,266.6700134277344,92991
2025-11-19 14:38:00+00:00,267.3399963378906,267.3399963378906,267.6499938964844,267.0,267.010009765625,138796
2025-11-19 14:39:00+00:00,267.8599853515625,267.8599853515625,268.1210021972656,267.3450012207031,267.3800048828125,134328
2025-11-19 14:40:00+00:00,267.5899963378906,267.5899963378906,268.1593017578125,267.5899963378906,267.8500061035156,112285
2025-11-19 14:41:00+00:00,268.4849853515625,268.4849853515625,268.5299987792969,267.30999755859375,267.5899963378906,105996
2025-11-19 14:42:00+00:00,268.93499755859375,268.93499755859375,268.9883117675781,268.3999938964844,268.4955139160156,105404
2025-11-19 14:43:00+00:00,269.2049865722656,269.2049865722656,269.3599853515625,268.8699951171875,268.92498779296875,144506
2025-11-19 14:44:00+00:00,269.45001220703125,269.45001220703125,269.45001220703125,268.9100036621094,269.2298889160156,106468
2025-11-19 14:45:00+00:00,269.7300109863281,269.7300109863281,269.7300109863281,269.20001220703125,269.44000244140625,105180
2025-11-19 14:46:00+00:00,269.2301025390625,269.2301025390625,269.7799987792969,269.07000732421875,269.75,99299
2025-11-19 14:47:00+00:00,269.3299865722656,269.3299865722656,269.54998779296875,269.1499938964844,269.289306640625,64912
2025-11-19 14:48:00+00:00,269.412109375,269.412109375,269.5,269.1099853515625,269.3207092285156,68561
2025-11-19 14:49:00+00:00,269.17999267578125,269.17999267578125,269.6199951171875,269.0799865722656,269.44000244140625,67056
